label_id,dialect,precision,recall,f1,support
0,BAR,0.7368421052631579,0.7353535353535353,0.7360970677451971,495
1,CHI,0.8296178343949044,0.6299879081015719,0.7161512027491409,1654
2,KHU,0.0,0.0,0.0,0
3,KIS,0.0,0.0,0.0,0
4,MYM,0.24050632911392406,0.02710413694721826,0.04871794871794872,701
5,NAR,0.0,0.0,0.0,0
6,NOA,0.38596491228070173,0.05597964376590331,0.09777777777777778,786
7,NSD,0.0,0.0,0.0,0
8,RAJ,0.325,0.01813110181311018,0.034346103038309116,717
9,RAN,0.0,0.0,0.0,0
10,STD,0.5518453427065027,0.8037542662116041,0.6543938867662383,1172
11,SYL,0.6016755521706016,0.6181533646322379,0.6098031648012351,1278
12,TAN,0.0,0.0,0.0,0
