model,threshold,oof_margin_correlation,neural_selection_fraction,selected_neural_win_rate,mean_macro_chrfpp,mean_worst_dialect_chrfpp,mean_corpus_chrfpp,mean_exact_match
extra_leaf8,-2.0,0.5771206074758686,0.4092640087044377,0.5537409798708697,52.478147048167955,34.444948661718705,59.52582478432263,0.12668065594155592
hist_leaf15_l2,-1.0,0.5768480340035267,0.40883655863837726,0.567056363463549,52.46687887926061,34.77636253649077,59.506206568391384,0.12532058754954536
hist_leaf15_l2,-2.0,0.5768480340035267,0.4365819538353929,0.5607476635514018,52.46479004688417,34.76075987072877,59.50059919982442,0.12528172845263078
extra_leaf8,-4.0,0.5771206074758686,0.4598585528872309,0.540138583741761,52.445177595179054,34.66368505993438,59.404294244814146,0.12567031942177664
hist_leaf15_l2,0.0,0.5768480340035267,0.374174244190565,0.5864575760722817,52.4435197616595,34.79158256618076,59.526417173221375,0.12512629206497242
extra_leaf8,-1.0,0.5771206074758686,0.3775938447190487,0.5620047339713904,52.44012722872145,34.37361044051547,59.51366461371358,0.12695266961995805
extra_leaf8,-3.0,0.5771206074758686,0.43510530815263854,0.5451460212556934,52.417627350428184,34.50206836101405,59.44835543965584,0.12625320587549546
extra_leaf8,0.0,0.5771206074758686,0.32501748659361157,0.6031802965088474,52.4049630214744,34.31532049351679,59.4887471449754,0.12687495142612887
hist_leaf15_l2,-3.0,0.5768480340035267,0.4640553353540064,0.5498241500586166,52.39683693032828,35.00491394010075,59.433844578523576,0.1252040102588016
extra_leaf20,-3.0,0.5728601776175083,0.45325250641175097,0.5396090534979424,52.38502854577649,34.72207963626758,59.37032146740652,0.12551488303411829
hist_leaf15_l2,1.0,0.5768480340035267,0.3395507888396674,0.6044861524376287,52.3712573767859,34.56056522736781,59.52850800711001,0.12500971477422865
hist_leaf15_l2,-4.0,0.5768480340035267,0.48974119841454883,0.5390779973022296,52.355500380135425,34.99976659937539,59.304194146513055,0.12431025102976608
extra_leaf20,-4.0,0.5728601776175083,0.47769487837102664,0.531033921744082,52.32800621822383,34.79645016102031,59.267556862598106,0.12438796922359525
extra_leaf20,-1.0,0.5728601776175083,0.395857620268905,0.5559045842740749,52.32345690721355,34.47644126559945,59.48471041257185,0.1283127380119686
extra_leaf20,-2.0,0.5728601776175083,0.42434133830729776,0.5433150183150183,52.320183206703824,34.3513034640854,59.39226330153328,0.12671951503847054
extra_leaf20,0.0,0.5728601776175083,0.3456516670552576,0.5914558740865655,52.31678381478452,34.42797834877653,59.502269481340356,0.1280018652366519
hist_leaf15_l2,2.0,0.5768480340035267,0.3068314292375845,0.6239868287740629,52.29849943970087,34.504501086521984,59.46645727475751,0.12458226470816817
extra_leaf20,1.0,0.5728601776175083,0.2818450299215046,0.6679994485040672,52.25509398070732,34.28298366593763,59.507192362549326,0.1276521333644206
extra_leaf8,1.0,0.5771206074758686,0.26501904095748813,0.6778592375366569,52.24126224127681,33.97445592711376,59.47622932237161,0.12695266961995805
hist_leaf15_l2,3.0,0.5768480340035267,0.2739566332478433,0.6475177304964539,52.22741010950667,34.195149205327134,59.42811148960103,0.12431025102976606
extra_leaf20,2.0,0.5728601776175083,0.250990906971322,0.6869484440315838,52.14052144428217,33.973175156972786,59.439331228420684,0.12776871065516435
extra_leaf8,2.0,0.5771206074758686,0.23175565399860107,0.6971830985915493,52.11268534646242,33.69185919156748,59.397494386464814,0.12528172845263078
hist_leaf15_l2,4.0,0.5768480340035267,0.24286935571617316,0.66608,52.07327838267741,34.011099865880794,59.35035456787304,0.1226393098624388
extra_leaf8,3.0,0.5771206074758686,0.2041656951892438,0.7116482679862961,51.98110621883037,33.53493788351806,59.29050226504278,0.12497085567731404
hist_leaf15_l2,5.0,0.5768480340035267,0.21780523820626407,0.6845673505798394,51.970038508588026,33.83676401612525,59.21672337182915,0.12100722779202612
extra_leaf20,3.0,0.5728601776175083,0.21932074298593301,0.69950389794472,51.95273355181572,33.56576906047769,59.27071729130167,0.12621434677858087
extra_leaf20,4.0,0.5728601776175083,0.19359602082847593,0.709353673223605,51.78182984304695,33.37179404357959,59.10501882975469,0.12361078728530349
extra_leaf8,4.0,0.5771206074758686,0.17906271858242015,0.7252604166666666,51.75800936082584,33.33135390901852,59.13021638297439,0.12298904173467011
hist_leaf15_l2,6.0,0.5768480340035267,0.18897178829564001,0.7020357803824799,51.70993774504549,33.29346483933363,59.03630355249854,0.1175487681666278
extra_leaf8,5.0,0.5771206074758686,0.15388202378176732,0.7376262626262626,51.61541144571665,33.085978757504115,58.95082285960549,0.11991917307841767
extra_leaf20,5.0,0.5728601776175083,0.16744384860495842,0.7229055465305175,51.57823005091387,32.91270009513992,58.94823345724975,0.12197870521489079
hist_leaf15_l2,7.0,0.5768480340035267,0.16647237118209374,0.7175536881419234,51.563364959413626,33.147660021062705,58.88691119332139,0.11646071345301935
hist_leaf15_l2,8.0,0.5768480340035267,0.1454107406543872,0.7332977017637627,51.45139876625749,32.768811327727995,58.75634435236385,0.11475091318877749
extra_leaf20,6.0,0.5728601776175083,0.1454107406543872,0.7389096739711384,51.37795747244257,32.1396208990529,58.81416823090846,0.11953058210927177
hist_leaf15_l2,9.0,0.5768480340035267,0.12590347400326415,0.7450617283950617,51.361076451221216,32.55619829108718,58.6212310134863,0.11234164918007306
extra_leaf8,6.0,0.5771206074758686,0.13317012512629206,0.7455500437700613,51.29513746714728,32.1560252017154,58.76441569045381,0.11743219087588404
hist_leaf15_l2,10.0,0.5768480340035267,0.10845573948861428,0.7491938373342888,51.15755370198619,32.23978803486224,58.447114816541564,0.11024325794668532
extra_leaf20,7.0,0.5728601776175083,0.12221185979637833,0.7510333863275039,51.10246811628517,31.95371096530056,58.62367233117077,0.11607212248387348
extra_leaf8,7.0,0.5771206074758686,0.11374057666899821,0.7543559959002392,51.06490150023333,31.85307503334745,58.583634499838155,0.11475091318877749
hist_leaf15_l2,11.0,0.5768480340035267,0.09376700085490013,0.7579776212184003,50.95863963949281,31.930361151930455,58.31457513836998,0.10771741664723711
extra_leaf20,8.0,0.5728601776175083,0.10188855211004896,0.7589626239511823,50.904087762060925,31.8747869614041,58.43343739335115,0.11397373125048575
extra_leaf8,8.0,0.5771206074758686,0.09730317867412762,0.7663738019169329,50.885688745530096,31.820075703445465,58.42334581605795,0.11319654931219399
extra_leaf20,9.0,0.5728601776175083,0.0840910857231678,0.777264325323475,50.742456722375266,31.62530369026057,58.25323961172051,0.11086500349731872
extra_leaf8,9.0,0.5771206074758686,0.08234242636201135,0.7758376592732421,50.732798847783805,31.705268663758613,58.28422510817938,0.11059298981891662
hist_leaf15_l2,12.0,0.5768480340035267,0.08020517603170903,0.7606589147286822,50.709899039749935,31.437748542878,58.169616785908,0.10647392554597031
hist_leaf15_l2,13.0,0.5768480340035267,0.06975207896168494,0.7749303621169916,50.65556905598692,31.40596821044244,58.07984992600411,0.1049584207663014
extra_leaf20,10.0,0.5728601776175083,0.07212248387347478,0.7790948275862069,50.62512729145786,31.595525981796772,58.12427315202339,0.10826144400404135
extra_leaf8,10.0,0.5771206074758686,0.0685863060542473,0.8022662889518414,50.61317652779352,31.44631369163371,58.16055554554014,0.10853345768244345
hist_leaf15_l2,14.0,0.5768480340035267,0.060659050283671405,0.7873158231902626,50.60517747284214,31.39557495337416,58.00920949458148,0.10305432501748661
extra_leaf8,11.0,0.5771206074758686,0.057045154270614754,0.8126702997275205,50.503242807068574,31.34958244638125,58.03008570333282,0.1059298981891661
extra_leaf20,11.0,0.5728601776175083,0.06128079583430481,0.7901077996195307,50.49934487030665,31.18105015242729,58.01590516137137,0.10717338929043291
hist_leaf15_l2,15.0,0.5768480340035267,0.05074998057045154,0.8001531393568146,50.49821123678928,31.07637258585034,57.911255922183784,0.10138338385015933
extra_leaf20,12.0,0.5728601776175083,0.05156602160565788,0.7927656367746797,50.42093828801601,31.110144696464406,57.89928081632604,0.10503613896013057
extra_leaf8,12.0,0.5771206074758686,0.048224139271003344,0.8130539887187752,50.40753553862482,31.0302504956654,57.89858127144223,0.10402580244035127
extra_leaf8,13.0,0.5771206074758686,0.04056889717882956,0.8208812260536399,50.33130730625418,30.885109556963858,57.805905944797104,0.10251029766068237
hist_leaf15_l2,16.0,0.5768480340035267,0.04080205176031709,0.8,50.31441760937276,31.05669157857318,57.78196195321231,0.09928499261677158
extra_leaf20,13.0,0.5728601776175083,0.04325017486593612,0.7969451931716083,50.284796685429626,30.75341978377439,57.798220681860556,0.10313204321131576
extra_leaf8,14.0,0.5771206074758686,0.034234864381751766,0.8172531214528944,50.21494753504091,30.606690747079227,57.69543439777607,0.10060620191186757
extra_leaf20,14.0,0.5728601776175083,0.035594932773762335,0.8144104803493449,50.16517447792222,30.42243336968811,57.71467444057228,0.10122794746250098
extra_leaf8,15.0,0.5771206074758686,0.0287557317167949,0.8189189189189189,50.13053105070605,30.31985940494289,57.62829095869858,0.09955700629517371
extra_leaf20,15.0,0.5728601776175083,0.02895002720136784,0.8228187919463087,50.09977355968843,30.391390592682303,57.634412576265184,0.09955700629517368
extra_leaf8,16.0,0.5771206074758686,0.024325794668531905,0.8354632587859425,50.0826710111815,30.29967327459291,57.57851355630214,0.09839123338773607
extra_leaf20,16.0,0.5728601776175083,0.023820626408642263,0.8156606851549756,50.03935466268331,30.293436005705335,57.5561184156255,0.09757519235252972
