quality_tier,rows,task
A_native_annotated_ood,1950,normalization
A_native_validated_ood,7029,normalization
A_native_validated_parallel,19965,normalization
A_published_parallel,22104,normalization
B_curated_lexical_and_parallel,3550,normalization
S_traceable_robustness_non_authentic,3325,normalization
A_authentic_speech_transcript_conditional_license,11289,identification
A_native_annotated_ood,2253,identification
A_native_validated_ood,4550,identification
A_native_validated_parallel,27199,identification
A_published_parallel,30889,identification
B_curated_lexical_and_parallel,4876,identification
B_merged_unknown_component_provenance,41297,identification
