source_id,rows,task,share
bd_dialect_v2,7029,normalization,0.12135075876594789
chattogramsent_v2_novel,2820,normalization,0.04868532361928767
kothon_v4,17145,normalization,0.2959964090257756
local_chatgaiyyaalap_v1,3998,normalization,0.06902266802479154
local_regional_text_corpus_v4,4501,normalization,0.07770661050014675
local_sylheti_translation_v2,1169,normalization,0.020181965713101876
local_vashantor_v2,12436,normalization,0.2146988243012275
onubad_v2,1950,normalization,0.033665383353762755
sylheti_translation_v3_novel,3550,normalization,0.06128826200300399
synthetic_robustness_v1,3325,normalization,0.05740379469295444
bangladial_v2,41297,identification,0.3375233954214445
bd_dialect_v2:regional_side,3955,identification,0.032324503690142455
bd_dialect_v2:standard_target,595,identification,0.00486297843126037
chattogramsent_v2_novel:regional_side,506,identification,0.004135574934819743
chattogramsent_v2_novel:standard_target,410,identification,0.003350959927423112
hf_bengali_regional_asr_refine,11289,identification,0.09226582102604758
kothon_v4:regional_side,16533,identification,0.13512541580508855
kothon_v4:standard_target,9750,identification,0.07968746168872035
local_chatgaiyyaalap_v1:regional_side,3957,identification,0.032340849836129885
local_chatgaiyyaalap_v1:standard_target,3832,identification,0.031319215711915524
local_regional_text_corpus_v4:regional_side,4270,identification,0.034899021683162654
local_regional_text_corpus_v4:standard_target,2986,identification,0.02440479595923271
local_sylheti_translation_v2:regional_side,1029,identification,0.00841009211053264
local_sylheti_translation_v2:standard_target,984,identification,0.008042303825815469
local_vashantor_v2:regional_side,11686,identification,0.0955105310045524
local_vashantor_v2:standard_target,2145,identification,0.017531241571518474
onubad_v2:regional_side,1676,identification,0.013698070337466183
onubad_v2:standard_target,577,identification,0.004715863117373501
sylheti_translation_v3_novel:regional_side,2589,identification,0.021160085980727893
sylheti_translation_v3_novel:standard_target,2287,identification,0.01869181793662599
