reason,rows,task
cross_label_text_conflict,20724,identification
fatal_text_quality,57,identification
hf_district_outside_frozen_taxonomy,1989,identification
same_label_compact_duplicate,38142,identification
train_near_protected_evaluation,2,identification
conflicting_lower_priority_target,118,normalization
exact_pair_duplicate_lower_priority,5516,normalization
failed_preliminary_local_normalization_gate,164,normalization
fatal_text_quality,2,normalization
ood_overlap_with_development,2655,normalization
source_maps_multiple_targets_at_best_priority,729,normalization
train_near_protected_evaluation,405,normalization
bengali_parent_removed_from_onubad_ood,546,romanized_normalization
duplicate_romanized_parent,72,romanized_normalization
duplicate_tokenizer_text,66200,tokenizer
exact_protected_evaluation_text,65,tokenizer
