extension,files,logical_bytes,logical_size
.pt,141,114539877390,106.67 GiB
.parquet,471,25756104921,23.99 GiB
.bin,4,606215936,578.13 MiB
.pkl,4,236427553,225.47 MiB
.zip,3,115120369,109.79 MiB
.png,59,19069166,18.19 MiB
.json,742,14180233,13.52 MiB
.csv,474,10332109,9.85 MiB
.jsonl,102,1982332,1.89 MiB
.pdf,60,1707719,1.63 MiB
.pyc,107,1604447,1.53 MiB
.py,88,1148368,1.10 MiB
.log,7,379402,370.51 KiB
.npy,217,321160,313.63 KiB
.md,22,121376,118.53 KiB
.yaml,54,82769,80.83 KiB
.html,1,50850,49.66 KiB
[none],5,10441,10.20 KiB
.tex,10,6647,6.49 KiB
.metadata,5,625,625.00 B
.tag,1,191,191.00 B
