dialect,rows,split
BAR,587,test
BAR,65,test_external
BAR,495,test_ood
BAR,4018,train
BAR,413,validation
CHI,2205,test
CHI,162,test_external
CHI,1654,test_ood
CHI,16886,train
CHI,1991,validation
KHU,95,test
KHU,668,train
KHU,86,validation
KIS,793,test
KIS,159,test_external
KIS,7953,train
KIS,797,validation
MYM,448,test
MYM,701,test_ood
MYM,2171,train
MYM,302,validation
NAR,850,test
NAR,162,test_external
NAR,8009,train
NAR,865,validation
NOA,387,test
NOA,786,test_ood
NOA,1783,train
NOA,260,validation
NSD,538,test
NSD,108,test_external
NSD,5300,train
NSD,576,validation
RAJ,88,test
RAJ,717,test_ood
RAJ,705,train
RAJ,91,validation
RAN,698,test
RAN,108,test_external
RAN,6481,train
RAN,680,validation
STD,2452,test
STD,1172,test_ood
STD,18768,train
STD,2251,validation
SYL,1617,test
SYL,283,test_external
SYL,1278,test_ood
SYL,15134,train
SYL,1407,validation
TAN,506,test
TAN,104,test_external
TAN,5021,train
TAN,519,validation
